Event,Probability,Word Order,Eta1,Eta2,I1,I2,Deviation Score
alice eat apple,0.05,SVO,2.183383098229013520688673299448357500,1.48547529722733435783645703471080670,2.427918372302219549743709530136000500,0.697907801001679162852216264737550800,0.289772167733326754498345617270431975
alice eat apple,0.05,SOV,2.183383098229013520688673299448357500,0.0,2.427918372302219549743709530136000500,2.183383098229013520688673299448357500,0.500000000000000000000000000000000025
alice eat apple,0.05,VSO,3.592949440895038325674491665996100580,1.48547529722733435783645703471080670,1.018352029636194744757891163588257420,2.107474143667703967838034631285293880,0.185535577255888408042159594408743825
alice eat apple,0.05,VOS,3.592949440895038325674491665996100580,1.88431352779979892171142357107099489644722964569637419288858132193060,1.018352029636194744757891163588257420,1.70863591309523940396306809492510568355277035430362580711141867806940,0.168742533053620283935316447104380450
alice eat apple,0.05,OVS,1.88431352779979892171142357107099489644722964569637419288858132193060,1.88431352779979892171142357107099489644722964569637419288858132193060,2.72698794273143414872095925851336310355277035430362580711141867806940,0E-68,0.500000000000000000000000000000000025
alice eat apple,0.05,OSV,1.88431352779979892171142357107099489644722964569637419288858132193060,0.0,2.72698794273143414872095925851336310355277035430362580711141867806940,1.88431352779979892171142357107099489644722964569637419288858132193060,0.500000000000000000000000000000000025
alice eat cake,0.03,SVO,2.183383098229013520688673299448357500,1.48547529722733435783645703471080670,2.427918372302219549743709530136000500,0.697907801001679162852216264737550800,0.289772167733326754498345617270431975
alice eat cake,0.03,SOV,2.183383098229013520688673299448357500,0.0,2.427918372302219549743709530136000500,2.183383098229013520688673299448357500,0.500000000000000000000000000000000025
alice eat cake,0.03,VSO,3.592949440895038325674491665996100580,1.48547529722733435783645703471080670,1.018352029636194744757891163588257420,2.107474143667703967838034631285293880,0.185535577255888408042159594408743825
alice eat cake,0.03,VOS,3.592949440895038325674491665996100580,1.75271527897970491565636559224484471361736099091839732325232966440440,1.018352029636194744757891163588257420,1.84023416191533341001812607375125586638263900908160267674767033559560,0.168742533053620283935316447104380375
alice eat cake,0.03,OVS,1.75271527897970491565636559224484471361736099091839732325232966440440,1.75271527897970491565636559224484471361736099091839732325232966440440,2.85858619155152815477601723733951328638263900908160267674767033559560,0E-68,0.500000000000000000000000000000000025
alice eat cake,0.03,OSV,1.75271527897970491565636559224484471361736099091839732325232966440440,0.0,2.85858619155152815477601723733951328638263900908160267674767033559560,1.75271527897970491565636559224484471361736099091839732325232966440440,0.500000000000000000000000000000000025
alice eat rice,0.02,SVO,2.183383098229013520688673299448357500,1.48547529722733435783645703471080670,2.427918372302219549743709530136000500,0.697907801001679162852216264737550800,0.289772167733326754498345617270431975
alice eat rice,0.02,SOV,2.183383098229013520688673299448357500,0.0,2.427918372302219549743709530136000500,2.183383098229013520688673299448357500,0.500000000000000000000000000000000025
alice eat rice,0.02,VSO,3.592949440895038325674491665996100580,1.48547529722733435783645703471080670,1.018352029636194744757891163588257420,2.107474143667703967838034631285293880,0.185535577255888408042159594408743825
alice eat rice,0.02,VOS,3.592949440895038325674491665996100580,1.993961544431619684903672317075026673999641669711445024298368697923840,1.018352029636194744757891163588257420,1.598987896463418640770819348921073906000358330288554975701631302076160,0.168742533053620283935316447104380450
alice eat rice,0.02,OVS,1.993961544431619684903672317075026673999641669711445024298368697923840,1.993961544431619684903672317075026673999641669711445024298368697923840,2.617339926099613385528710512509331326000358330288554975701631302076160,0E-69,0.500000000000000000000000000000000025
alice eat rice,0.02,OSV,1.993961544431619684903672317075026673999641669711445024298368697923840,0.0,2.617339926099613385528710512509331326000358330288554975701631302076160,1.993961544431619684903672317075026673999641669711445024298368697923840,0.500000000000000000000000000000000025
alice drink coffee,0.07,SVO,2.183383098229013520688673299448357500,0.881290899230692748462166404189262930,2.427918372302219549743709530136000500,1.302092198998320772226506895259094570,0.289772167733326754498345617270431975
alice drink coffee,0.07,SOV,2.183383098229013520688673299448357500,0.0,2.427918372302219549743709530136000500,2.183383098229013520688673299448357500,0.500000000000000000000000000000000025
